================================================================================
  cadets
================================================================================
       117x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
        47x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  Unresolved(Unresolved)  |  FileObject(FILE_OBJECT_FILE)
         2x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
       146x  Subject(SUBJECT_PROCESS)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
        28x  Unresolved(Unresolved)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
      3068x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  None
       356x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  None
        80x  Unresolved(Unresolved)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  None
        12x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
      4603x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
        40x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  UnnamedPipeObject  |  None
       120x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  NetFlowObject  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  None  |  None
       957x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
        87x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
       607x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
       192x  Unresolved(Unresolved)  --EVENT_READ-->  NetFlowObject  |  None
         1x  Unresolved(Unresolved)  --EVENT_READ-->  UnnamedPipeObject  |  None
        37x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  NetFlowObject  |  None
       230x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
        96x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  NetFlowObject  |  None
         5x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  NetFlowObject  |  None
         4x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
         4x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
        21x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  NetFlowObject  |  None
        32x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
        96x  Unresolved(Unresolved)  --EVENT_SENDTO-->  NetFlowObject  |  None
         3x  Unresolved(Unresolved)  --EVENT_SENDTO-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
        31x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
       768x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
        25x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  UnnamedPipeObject  |  None
        34x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  NetFlowObject  |  None
      1836x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
