================================================================================
  cadets
================================================================================
     21926x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
       107x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  SrcSinkObject(SRCSINK_IPC)  |  FileObject(FILE_OBJECT_FILE)
     10329x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  Unresolved(Unresolved)  |  FileObject(FILE_OBJECT_FILE)
     30330x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  Unresolved(Unresolved)  |  None
        54x  Unresolved(Unresolved)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
        33x  Unresolved(Unresolved)  --EVENT_EXECUTE-->  Unresolved(Unresolved)  |  FileObject(FILE_OBJECT_FILE)
      4160x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
      4030x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  SrcSinkObject(SRCSINK_IPC)  |  SrcSinkObject(SRCSINK_IPC)
         7x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  FileObject(FILE_OBJECT_UNIX_SOCKET)
       691x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  IpcObject(IPC_OBJECT_PIPE_UNNAMED)
         7x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  FileObject(FILE_OBJECT_FILE)  |  IpcObject(IPC_OBJECT_PIPE_UNNAMED)
    164548x  Unresolved(Unresolved)  --EVENT_FLOWS_TO-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
      3806x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  Unresolved(Unresolved)  |  SrcSinkObject(SRCSINK_IPC)
        76x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  Unresolved(Unresolved)  |  Unresolved(Unresolved)
      2583x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  Unresolved(Unresolved)  |  FileObject(FILE_OBJECT_FILE)
         1x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  FileObject(FILE_OBJECT_FILE)  |  Unresolved(Unresolved)
       915x  Subject(SUBJECT_PROCESS)  --EVENT_FLOWS_TO-->  Unresolved(Unresolved)  |  IpcObject(IPC_OBJECT_PIPE_UNNAMED)
     50599x  Subject(SUBJECT_PROCESS)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
     13793x  Unresolved(Unresolved)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
        45x  Subject(SUBJECT_PROCESS)  --EVENT_FORK-->  Unresolved(Unresolved)  |  None
     85559x  Subject(SUBJECT_PROCESS)  --EVENT_LSEEK-->  FileObject(FILE_OBJECT_FILE)  |  None
     46233x  Unresolved(Unresolved)  --EVENT_LSEEK-->  FileObject(FILE_OBJECT_FILE)  |  None
     29665x  Subject(SUBJECT_PROCESS)  --EVENT_LSEEK-->  Unresolved(Unresolved)  |  None
    725515x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  None
    148275x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  None
      2106x  Unresolved(Unresolved)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  None
    285158x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
     44723x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_IPC)  |  None
       113x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
     39829x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  NetFlowObject  |  None
      1716x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
    598690x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
    423977x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
     20540x  Unresolved(Unresolved)  --EVENT_READ-->  SrcSinkObject(SRCSINK_IPC)  |  None
